Wavelength (nm)	n	k
1059.665405	2.432016	0.018394
1063.046143	2.430169	0.018316
1066.427368	2.428337	0.01824
1069.809326	2.42652	0.018164
1073.191772	2.424718	0.018089
1076.575073	2.422931	0.018015
1079.959106	2.421159	0.017941
1083.343628	2.419401	0.017868
1086.729004	2.417658	0.017796
1090.11499	2.415928	0.017725
1093.501587	2.414213	0.017654
1096.888916	2.412511	0.017584
1100.276855	2.410824	0.017515
1103.665527	2.409149	0.017446
1107.05481	2.407489	0.017379
1110.444824	2.405842	0.017311
1113.835449	2.404207	0.017245
1117.226807	2.402586	0.017179
1120.618896	2.400978	0.017114
1124.011475	2.399383	0.017049
1127.404907	2.3978	0.016985
1130.798828	2.39623	0.016921
1134.193604	2.394673	0.016859
1137.588989	2.393127	0.016796
1140.984985	2.391594	0.016735
1144.381592	2.390073	0.016674
1147.779053	2.388564	0.016613
1151.177124	2.387066	0.016553
1154.575928	2.385581	0.016494
1157.975342	2.384107	0.016435
1161.375244	2.382644	0.016377
1164.776123	2.381193	0.016319
1168.17749	2.379753	0.016262
1171.57959	2.378324	0.016205
1174.9823	2.376906	0.016149
1178.385864	2.375499	0.016093
1181.789917	2.374103	0.016038
1185.194702	2.372717	0.015983
1188.60022	2.371343	0.015929
1192.006226	2.369978	0.015875
1195.413086	2.368624	0.015822
1198.820557	2.36728	0.015769
1202.22876	2.365947	0.015717
1205.637573	2.364624	0.015665
1209.047119	2.36331	0.015613
1212.457275	2.362007	0.015563
1215.868042	2.360713	0.015512
1219.279541	2.359429	0.015462
1222.691772	2.358155	0.015412
1226.104736	2.35689	0.015363
1229.518188	2.355634	0.015314
1232.932373	2.354388	0.015266
1236.34729	2.353152	0.015218
1239.762939	2.351924	0.01517
1243.179077	2.350706	0.015123
1246.595947	2.349496	0.015076
1250.01355	2.348295	0.01503
1253.431885	2.347104	0.014984
1256.85083	2.34592	0.014938
1260.270386	2.344746	0.014893
1263.690674	2.34358	0.014848
1267.111572	2.342423	0.014804
1270.533203	2.341274	0.014759
1273.955566	2.340133	0.014716
1277.37854	2.339001	0.014672
1280.802124	2.337877	0.014629
1284.22644	2.336761	0.014586
1287.651489	2.335653	0.014544
1291.077148	2.334553	0.014502
1294.50354	2.333461	0.01446
1297.93042	2.332376	0.014419
1301.358154	2.3313	0.014378
1304.786621	2.330231	0.014337
1308.215576	2.32917	0.014296
1311.645264	2.328116	0.014256
1315.075806	2.32707	0.014217
1318.506836	2.326031	0.014177
1321.938599	2.324999	0.014138
1325.370972	2.323975	0.014099
1328.804077	2.322958	0.01406
1332.237915	2.321948	0.014022
1335.672241	2.320945	0.013984
1339.107422	2.319949	0.013946
1342.543213	2.31896	0.013909
1345.979736	2.317978	0.013872
1349.416748	2.317003	0.013835
1352.854736	2.316034	0.013799
1356.293213	2.315073	0.013762
1359.7323	2.314117	0.013726
1363.172119	2.313169	0.01369
1366.612671	2.312227	0.013655
1370.053955	2.311291	0.01362
1373.49585	2.310362	0.013585
1376.938232	2.309439	0.01355
1380.381592	2.308522	0.013516
1383.825439	2.307612	0.013481
1387.27002	2.306708	0.013447
1390.715332	2.30581	0.013414
1394.161255	2.304918	0.01338
1397.607788	2.304032	0.013347
1401.055054	2.303152	0.013314
1404.503052	2.302278	0.013281
1407.95166	2.30141	0.013249
1411.401001	2.300548	0.013217
1414.850952	2.299691	0.013184
1418.301636	2.29884	0.013153
1421.753052	2.297995	0.013121
1425.204956	2.297155	0.01309
1428.657715	2.296321	0.013058
1432.111084	2.295493	0.013028
1435.565186	2.29467	0.012997
1439.019775	2.293852	0.012966
1442.475342	2.29304	0.012936
1445.931396	2.292233	0.012906
1449.388062	2.291431	0.012876
1452.845459	2.290635	0.012846
1456.303589	2.289844	0.012817
1459.762451	2.289058	0.012788
1463.221924	2.288277	0.012759
1466.682007	2.287501	0.01273
1470.142822	2.286731	0.012701
1473.604248	2.285965	0.012672
1477.066528	2.285204	0.012644
1480.529297	2.284448	0.012616
1483.99292	2.283697	0.012588
1487.457031	2.28295	0.01256
1490.921875	2.282209	0.012533
1494.387451	2.281472	0.012505
1497.85376	2.28074	0.012478
1501.320557	2.280013	0.012451
1504.788208	2.27929	0.012424
1508.25647	2.278572	0.012398
1511.725342	2.277858	0.012371
1515.195068	2.277149	0.012345
1518.665283	2.276444	0.012319
1522.136353	2.275744	0.012293
1525.60791	2.275048	0.012267
1529.080322	2.274357	0.012241
1532.553345	2.27367	0.012216
1536.026978	2.272987	0.012191
